"","value","param","species"
"454",5.38925123889931,"theta","dichotomius_satanas"
"455",5.56636118586175,"theta","dichotomius_satanas"
"456",5.56549625494517,"theta","dichotomius_satanas"
"457",5.47514988714829,"theta","dichotomius_satanas"
"458",5.69645169912837,"theta","dichotomius_satanas"
"459",4.68950748001225,"theta","dichotomius_satanas"
"460",5.57237479859032,"theta","dichotomius_satanas"
"461",5.95423597865738,"theta","dichotomius_satanas"
"462",5.87024341942742,"theta","dichotomius_satanas"
"463",4.210870801704,"theta","dichotomius_satanas"
"464",5.94668101426214,"theta","dichotomius_satanas"
"465",5.94835473014973,"theta","dichotomius_satanas"
"466",5.88922744640149,"theta","dichotomius_satanas"
"467",5.1965918126516,"theta","dichotomius_satanas"
"468",4.91030813450925,"theta","dichotomius_satanas"
"469",3.98238337156363,"theta","dichotomius_satanas"
"470",5.7227142250631,"theta","dichotomius_satanas"
"471",5.90900300326757,"theta","dichotomius_satanas"
"472",5.63538576383144,"theta","dichotomius_satanas"
"473",4.41550954733975,"theta","dichotomius_satanas"
"474",5.39986757468432,"theta","dichotomius_satanas"
"475",5.49708734638989,"theta","dichotomius_satanas"
"476",5.70557729015127,"theta","dichotomius_satanas"
"477",4.85470255510882,"theta","dichotomius_satanas"
"478",5.70125553314574,"theta","dichotomius_satanas"
"479",5.80770852183923,"theta","dichotomius_satanas"
"480",5.74340136512183,"theta","dichotomius_satanas"
"481",5.85805883188732,"theta","dichotomius_satanas"
"482",5.02844219934195,"theta","dichotomius_satanas"
"483",4.40126671944745,"theta","dichotomius_satanas"
"484",5.50871228473261,"theta","dichotomius_satanas"
"485",5.05532091390342,"theta","dichotomius_satanas"
"486",5.8455553886015,"theta","dichotomius_satanas"
"487",5.81810231227428,"theta","dichotomius_satanas"
"488",5.72964771906845,"theta","dichotomius_satanas"
"489",4.42468178248964,"theta","dichotomius_satanas"
"490",5.45400555734523,"theta","dichotomius_satanas"
"491",5.543852385832,"theta","dichotomius_satanas"
"492",5.12011737469584,"theta","dichotomius_satanas"
"493",5.59187867934816,"theta","dichotomius_satanas"
"494",5.85028409748338,"theta","dichotomius_satanas"
"495",5.19724606443197,"theta","dichotomius_satanas"
"496",5.81296393205412,"theta","dichotomius_satanas"
"497",4.58121852041222,"theta","dichotomius_satanas"
"498",5.74119897582568,"theta","dichotomius_satanas"
"499",5.83241522335447,"theta","dichotomius_satanas"
"500",5.77345031918958,"theta","dichotomius_satanas"
"501",5.9687998520676,"theta","dichotomius_satanas"
"502",5.23571011284366,"theta","dichotomius_satanas"
"503",5.41755031934008,"theta","dichotomius_satanas"
"504",4.37773993145674,"theta","dichotomius_satanas"
"505",5.22152383602224,"theta","dichotomius_satanas"
"506",5.17410580441356,"theta","dichotomius_satanas"
"507",3.5060987600591,"theta","dichotomius_satanas"
"508",5.30920941522345,"theta","dichotomius_satanas"
"509",4.03388091153465,"theta","dichotomius_satanas"
"510",5.94189240853302,"theta","dichotomius_satanas"
"511",4.48892346140929,"theta","dichotomius_satanas"
"512",5.81238919193856,"theta","dichotomius_satanas"
"513",5.66121927136555,"theta","dichotomius_satanas"
"514",5.13368769572116,"theta","dichotomius_satanas"
"515",5.98340182588436,"theta","dichotomius_satanas"
"516",4.88154364423826,"theta","dichotomius_satanas"
"517",5.19323245761916,"theta","dichotomius_satanas"
"518",5.79811290744692,"theta","dichotomius_satanas"
"519",4.41812730766833,"theta","dichotomius_satanas"
"520",5.37985813943669,"theta","dichotomius_satanas"
"521",4.73316944460385,"theta","dichotomius_satanas"
"522",5.67764154192992,"theta","dichotomius_satanas"
"523",5.38806322636083,"theta","dichotomius_satanas"
"524",5.79516818188131,"theta","dichotomius_satanas"
"525",5.91185903199948,"theta","dichotomius_satanas"
"526",4.76949535333551,"theta","dichotomius_satanas"
"527",5.18231912888587,"theta","dichotomius_satanas"
"528",4.8842837291304,"theta","dichotomius_satanas"
"529",5.97910611098632,"theta","dichotomius_satanas"
"530",4.66824028664269,"theta","dichotomius_satanas"
"531",4.9256691839546,"theta","dichotomius_satanas"
"532",5.39754825434648,"theta","dichotomius_satanas"
"533",5.7289208706934,"theta","dichotomius_satanas"
"534",5.79996334877796,"theta","dichotomius_satanas"
"535",4.51353946956806,"theta","dichotomius_satanas"
"536",5.45276117883623,"theta","dichotomius_satanas"
